"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha/yr","Graze_FluxDensity_mean_MgC/ha/yr","CropArea_sum_ha_positiveDelta","GrazeArea_sum_ha_positiveDelta","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"26","BIH","Bosnia and Herzegovina",1417621.26358322,46124.9835811396,0.204890569059758,0.130141039645278,230630.635349832,11814.1015078363,9.37608711846964,9.33181130147313,3.31452876679448,2.26330961937018,25.1361109060957,23.5456098052358,33.1658274461634,33.8959554999561
"27","BLR","Belarus",29795218.6100353,1238.45639112432,0.175433107186769,0.112153504157327,5661268.67154269,368.083726088795,6.68193577192759,6.68179572445182,1.66839797021285,0.900532859680284,28.8565257679846,33.3316020297872,35.53846154,35
"28","BLZ","Belize",147534.980525895,0,0.154546637559083,NA,31821.0267261001,NA,17.4882405053448,15.4271698269975,NA,NA,5.68264976735716,NA,21.6063726911993,30.627670132962
"29","BMU","Bermuda",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,19.6,28.3
"30","BOL","Bolivia",61874110.1626356,204799294.927999,0.89874718012998,0.643975645280944,2294828.16119238,10600778.4833049,11.0253649318661,10.7545337222538,8.17675715971151,7.44033369531145,24.6768689604375,17.5738648569378,28.1727616650498,26.0576432573576
"31","BRA","Brazil",839169702.005091,862735118.2037,0.536005236550876,0.723217134436311,52186660.6754963,39763766.5151159,10.5541994791002,10.4150154112512,5.45410676599222,5.2720445629862,13.5382914681883,22.546729471077,24.7481367448596,29.1070591176771
"32","BRB","Barbados",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,5
"33","BRN","Brunei",1089.77914387382,0,0.149982675103926,NA,242.201117144295,NA,17.4918209866391,16.256515869427,NA,NA,4.74348413057298,NA,21,31.25
"34","BTN","Bhutan",135900.196899006,135707.697741252,0.408384081878676,NA,11092.515022772,NA,12.9946367795535,12.5901969160695,3.83222379455477,3.43381993392636,19.4465243204741,16.2313294059404,28.1986754246165,29.2200043602671
"35","BWA","Botswana",573750.57082725,21352591.5895857,0.104446286064159,0.0584723375114841,183108.655637855,12172474.7680285,1.92425723712947,1.23668389224056,1.41818232860678,1.34168199189389,22.6481039530913,12.083532930646,12.025983676886,13.2886140350263
"36","CAF","Central African Republic",2174148.54819574,5085921.90866858,0.352252821482692,0.31673322157086,205737.509690187,535247.706092066,8.69763739403391,8.30973092237677,6.79630654445957,5.93969727430758,16.7275505776116,20.1206544436936,24.7818356566359,27.3686423539294
"37","CAN","Canada",89263241.9951893,5640568.90581138,0.0962868929306678,NA,30901832.1110656,NA,4.08501670814227,3.98068323912494,1.18695935632707,1.0656217617616,25.0584820265085,19.0530986049323,26.9433082379079,27.2183448501372
"38","CCK","Cocos Islands",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"39","CHE","Switzerland",2173814.77648808,573886.709990583,0.267141695759598,0.11611750766107,271243.664691004,164743.089866538,10.0061833719281,9.96411000231775,3.15886169136659,2.75453823430361,25.1120341382514,22.2153035802186,26.54556462442,29.4356723314263
"40","CHL","Chile",1502671.40139428,17426486.0115996,0.0464164327940105,NA,1079123.14019112,NA,15.2845184642363,13.0054937916178,4.96614085000237,4.56743842853309,10.7396842872185,19.063273345945,25.2643398814461,26.1995127232057
"41","CHN","China",819068878.459273,378332078.370853,0.250110785565309,0.0972495895171367,109160810.026376,129677352.28133,7.05636046833692,6.51377962291494,1.73850351263179,1.36417591801961,24.5265778085364,18.4812022551756,23.516084715288,22.7828236142521
"42","CIV","Côte d'Ivoire",27941395.1701338,113285986.976783,0.790458757578045,0.731001354277624,1178277.58890065,5165790.10941014,6.08211166547474,5.95313618959606,10.0328518983289,9.8229000012092,18.3788782207074,16.9696153276983,23.2694857646865,28.9207909266383
"43","CMR","Cameroon",33374445.8297345,2959043.17656773,0.580102439279909,0.426689337526685,1917732.89048527,231162.965364911,4.0743752901222,3.76556103569077,4.1757213397474,4.694955538889,21.0104070117703,22.3346480868481,22.9918670866305,29.2057153592573
"44","COD","Democratic Republic of the Congo",47155733.3595759,19113861.7666491,0.611998168532926,NA,2568402.74934248,NA,11.5978473511019,10.4951066147307,10.0991822062664,9.58376065126647,13.9937771176824,17.423108103519,23.1274726704749,29.0662258243343
"45","COG","Republic of Congo",3558582.44501743,11752460.9910478,0.950918007724212,1.26346831980584,124742.000751254,310058.18947783,7.81130256446014,7.69776425083088,6.50614652912602,6.05820372979522,17.4673704114117,21.0756372475094,22.3707914027103,29.8431351398528
"46","COK","Cook Islands",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"47","COL","Colombia",20335739.4642203,172714362.599053,0.888269425172703,0.607048559440421,763122.047129881,9483830.13259332,15.1744756088778,14.838481190154,11.694863548366,11.2339520117595,18.3406634322717,14.9360941457527,22.7057301213668,29.3088429099693
"48","COM","Comoros",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"49","CPV","Cape Verde",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,42,23.33333333
"50","CRI","Costa Rica",1705803.17225015,503408.503081791,0.609989851548863,0.471805751573954,93214.838898212,35566.0849408476,18.568334438584,17.7964004545214,11.9751508413007,10.001471495746,18.0904886020869,16.8640113959858,23.5863685187007,30.2749801214802
"51","CUB","Cuba",27516458.8211904,803120.902721296,0.801997677921932,0.246778260389407,1143663.2789465,108480.77425918,16.9072657258249,16.8170326021971,10.8339898646263,10.4606786995674,22.9166583946508,13.5780324380113,34.6797169516624,24.8375319192219
"52","CUW","Curaçao",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,5
"53","CXR","Christmas Island",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"54","CYM","Cayman Islands",197.128777799937,0,0.842088373183163,NA,7.80317062823127,NA,15.7972694487378,15.8817204301075,NA,NA,26.1979166666667,NA,42,23.33333333
"55","CYP","Cyprus",21085.6209072336,0,0.0102035586579298,NA,68883.2253338288,NA,2.01875029922292,0.693349200882496,NA,NA,7.89963717911446,NA,9.75,23
"56","CZE","Czech Republic",15716323.1228784,0,0.197525386129496,NA,2652203.07978961,NA,7.30653439108311,7.30549568745584,NA,NA,28.2177765014249,NA,35.2449700653988,34.8184030408712
"57","DEU","Germany",112432110.441112,234460.972850612,0.310554695479256,0.211624955180549,12067880.6962495,36930.2654075902,8.96648915403821,8.95974802068074,2.55389567421862,2.28874335119523,26.577801136874,31.1313939570049,35.3954871538233,34.9115350324156
"58","DJI","Djibouti",0,442.345959985459,NA,0.00787502832515077,0,1872.35711721283,NA,NA,0.410793736105908,0.415962011364285,NA,4.58852703469338,4,5
"59","DMA","Dominica",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,17.651637475846,26.0797343377034
"60","DNK","Denmark",22177141.3677519,0,0.359184420231045,NA,2058101.64348503,NA,11.0777978081407,11.1234275550485,NA,NA,24.4120544812612,NA,35.53846154,35
"61","DOM","Dominican Republic",414387.152940998,104463.551297937,0.225992125986988,NA,61121.1786149956,NA,14.0396461156968,13.0319479732695,9.32526781024204,5.35735918721188,7.95613241328959,19.3655134676299,25.0470127001187,29.1029954197384
"62","DZA","Algeria",675879.681678736,1280825.07833588,0.0162927824413375,NA,1382779.32598326,NA,3.03170853313306,0.664848803989236,0.0596666870699379,0.0455355019393031,8.08565414267777,11.4298006914529,5.14506228499079,7.84753765419308
"63","ECU","Ecuador",3792610.15711599,3792437.53736208,0.710756586008681,NA,177867.277010345,NA,11.1782260128638,10.3633550972181,12.6002977964138,12.2601597827559,17.8948537807874,11.8907476818411,22.9330884005875,28.9306223807369
"64","EGY","Egypt",6510.54477735956,1.38930728322844,0.000483909968035609,NA,448468.048976725,NA,12.1136359326249,0.683001223840584,0.00751658198039952,0.00729082187163657,3.22934196732535,4.99447665331571,4.02400052118952,5.07513206633241
"65","ERI","Eritrea",1996046.24066714,14897790.9147173,0.313305482515267,0.272259912755869,212364.2208708,1823966.75832282,2.44693439127435,1.77322964749708,0.491760814131229,0.479394387982207,24.6927562938683,21.3135665071162,17.3692317136266,17.0202726867659
"66","ESH","Western Sahara",0,0,NA,NA,0,NA,NA,0,2.41970337406748e-05,2.38278926498344e-05,NA,4.99997580296626,4.04613547512257,5.14442409603585
"67","ESP","Spain",4983110.31326587,802328.605324176,0.0325825620867882,0.243230755720709,5097931.73005923,109954.379596832,2.67733322553258,1.11591337187106,7.44220330109136,6.41912155113121,9.12174973553842,23.9938589375231,13.7239072637014,24.8491559525673
"68","EST","Estonia",3704053.9158431,0,0.190772384328063,NA,647203.023101673,NA,12.3966289707197,12.3868034389613,NA,NA,23.1513170966035,NA,35.53846154,35
"69","ETH","Ethiopia",213552787.550235,78567424.7360293,0.462525244367884,0.375930826138529,15390351.8529091,6966478.87263862,8.21635067122781,7.91003887002626,2.14930157010904,1.93543250072235,18.2556181025264,19.9063526208481,22.3993290109124,22.7431616335205
"70","FIN","Finland",297069.751894788,0,0.126630494840116,NA,78198.5814369774,NA,16.0164245006427,15.8469720289355,NA,NA,19.6897965749929,NA,35.53846154,35
"71","FJI","Fiji",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29.0471860014551,28.2163386091529
"72","FLK","Falkland Islands",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27.66666667,20
"73","FRA","France",203991713.530681,1018299.53702143,0.392518675414238,0.179997909519658,17323312.7753222,188576.178419491,6.95349439175988,6.90680579917298,5.03289082821131,4.00173519615367,28.0038277762939,24.8257742923433,32.0509928215309,33.2985729362722
"74","FRO","Faroe Islands",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27.66666667,20
"75","FSM","Micronesia",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24.1945167896351,30.0457178764194
"76","GAB","Gabon",17739.7082677467,7818535.7213823,0.791590419593624,1.39695411211128,747.007030767823,186561.501999179,10.6650526064084,10.3394663739699,4.14717745993694,3.66821284358048,14.5258974901789,23.6355087287111,21.7577620938009,30.4722967987625
"77","GBR","United Kingdom",64132601.2738888,10659599.6721464,0.380234204350168,NA,5622201.66239326,NA,11.8011557769099,11.7488050781413,7.95179982115451,8.11544052132678,23.5124468717528,26.5456883477087,33.9879442281531,34.0406221198109
"78","GEO","Georgia",914974.190215647,4317855.0541391,0.08896010594342,0.217378599161115,342840.640199471,662109.804553302,7.36417653302913,7.47649941086823,3.72194199961621,3.28192142013629,23.2696073054624,27.9259909339173,31.7826115968019,30.8516912566322
"79","GGY","Guernsey",2459.79648457274,0,0.441921519480657,NA,185.537957619223,NA,15.5150640313865,15.5327306733167,NA,NA,20.005730866685,NA,35.53846154,35
"80","GHA","Ghana",69600783.1431415,124858822.734187,0.846563223834657,0.80554914321307,2740523.14044829,5166613.10221938,4.0018591862964,3.94753701338105,7.02241763221868,7.10555396148895,21.0261797125246,19.9299604760132,23.8173527869926,28.3585063513215
"81","GIB","Gibraltar",0.661386067597909,0,0.0337706488934656,NA,0.652821398925781,NA,3.22222222222222,2.63636363636364,NA,NA,6.52777777777778,NA,9.75,23
"82","GIN","Guinea",5697175.36444881,25629765.6592916,0.597265714675502,0.450043846437418,317958.725598043,1898316.19460925,6.22450458289649,6.11151200175183,10.4891862094458,9.84396256447096,18.600955969727,17.1078528351874,24.3934036857307,27.7672962186297
"83","GLP","Guadeloupe",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,12.2965397897759,17.8108334989187
"84","GMB","Gambia",4335170.13294318,3895516.41506466,0.554128849968083,0.43329906915506,260779.909052613,299678.804808034,1.77602972028797,1.65424323368941,1.21927688318789,1.07708752306654,23.4947194501824,25.8459042082124,25.22222222,26.91666667
"85","GNB","Guinea-Bissau",659279.160224965,4156354.31072419,0.604925319728622,0.275425469777794,36328.4049961036,503022.265161537,6.83197540910247,7.23513376671387,11.0548014364026,10.8849378780212,17.9851564525013,15.8133361227071,25.22222222,26.91666667
"86","GNQ","Equatorial Guinea",15.3107493801311,0,0.519252079658998,NA,0.982871966552735,NA,10,10,NA,NA,11,NA,21,31.25
"87","GRC","Greece",1960637.99050225,292691.860720545,0.0326965063200588,0.104652480034978,1998825.1663241,93226.6044157828,4.8384155873601,4.02737807140428,4.08147438725951,3.45161876604726,9.06294650834895,19.0425250663908,12.3469694082136,24.2084331921172
"88","GRD","Grenada",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24.7882816211269,27.6694160171652
"89","GTM","Guatemala",2171613.72354371,191706.731824713,0.447687356565998,0.549340593312051,161691.240676019,11632.5363025324,20.2780996867742,20.477323480886,14.0156194677556,11.5397004565032,17.5250448568423,16.3201833876541,21.7115393350774,29.3349275006679
"90","GUF","French Guiana",1.78209545955745,0,0.0548992904883193,NA,1.08203915673349,NA,19.1806010427857,16.4,NA,NA,4.6,NA,21,31.25
"91","GUM","Guam",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,42,23.33333333
"92","GUY","Guyana",1135391.66742173,17975976.6800716,0.311445565093042,1.10354466538614,121518.471141984,542976.864882392,13.1896269243333,12.2681202894778,5.99999451037106,5.78974927028938,8.60759989336969,21.1675963730858,21.2711545794208,30.9717097738569
"93","HKG","Hong Kong",254.27624506096,0,0.157325168354968,NA,53.8748817114976,NA,15.0574619730111,13.5621274329801,NA,NA,7.42970747322573,NA,21,31.25
"94","HND","Honduras",1615432.29270909,10122.8570612641,0.700932346780309,NA,76823.0248434807,NA,16.8234037150485,16.5122505181362,12.6240590236028,10.3291601053708,22.1345142943069,12.2896588299945,24.341759013893,28.4136455052155
"95","HRV","Croatia",5779020.75114622,833412.387822983,0.209983641197827,0.156417410566152,917376.343887312,177604.352526242,7.47154673975045,7.42023442556604,2.66385280279923,2.1762694702034,27.3928390982182,24.8366171514464,29.5097058840625,32.1946729834883
"96","HTI","Haiti",40020.9914291243,0,0.583387728267703,NA,2286.70056464629,NA,8.76541854251309,8.01762031784198,2.02686723741236,2.08314115956825,14.8674160763782,28.1165527340736,25.4879544732207,29.1257167062873
"97","HUN","Hungary",22837129.5076754,4916.31088164389,0.166500226776435,0.146482255975594,4571991.67228755,1118.75003765258,5.87196851251812,5.87185376982758,0.438004582151429,0.190921853065044,29.6664930273858,34.5619954178486,35.53846154,35
"98","IDN","Indonesia",81843396.1185345,1547161.33416089,0.358767877627275,NA,7604117.79893348,NA,14.6755095406429,13.6495939854803,9.53348027854541,9.10167356198214,9.23221902860701,14.6998031097998,21.8255221511142,30.8745732760306
"99","IMN","Isle of Man",59032.4600511785,0,0.305933494807724,NA,6431.94910583206,NA,18.5677252962599,18.6012206165317,NA,NA,16.935107810698,NA,35.53846154,35
"100","IND","India",1322742998.67951,2749460.26058233,0.334243990819988,NA,131913914.685943,NA,5.97181680647605,5.30818190955904,4.33595810762749,3.74977905599372,21.8905351103493,20.7175766637217,24.0671792373155,22.1366923675772
"101","IOT","British Indian Ocean Territory",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"102","IRL","Ireland",5164082.65644179,3599301.02838752,0.419488487340658,0.489102358632345,410347.586984602,245299.779951453,15.8952450518116,15.8946420557243,4.23589281040814,3.15710833939134,19.6382046682757,30.7674103139656,35.53846154,35
"103","IRN","Iran",8829188.87094257,11114788.7181748,0.092285555988715,0.0920266397495731,3189082.97777471,4025931.60285648,3.38097369927744,0.766003356422712,0.0992314220928723,0.0892090981865669,22.5663764608647,19.2826544356272,15.7536126272676,15.3934998502996
"104","IRQ","Iraq",775712.627547423,142545.765535149,0.0771010148946196,NA,335366.371250172,NA,1.22711848526093,0.0704721719364346,0.00577336634040915,0.00210347535712097,12.0549361665625,10.00038791825,8.63416670374725,8.74068810580572
"105","ISR","Israel",115621.658106691,0,0.0151543311436155,NA,254320.380998585,NA,1.82972897031568,1.12575446764865,0,0,7.80350519623102,5,6.29545535531869,12.103122427002
"106","ITA","Italy",23790275.2886782,278713.211598392,0.106655328229042,0.0981375020300691,7435251.37896807,94667.5857285068,5.99853783404132,5.55452622440269,3.43381670193162,2.65590260239858,15.1747415226731,21.8541654777443,16.8496914823578,25.8552552539007
"107","JAM","Jamaica",386242.697623931,0,0.553903357815984,NA,23243.6875599183,NA,14.8961917730332,13.3321774643289,NA,NA,19.4328840171597,NA,25.4581269732143,29.5693568942821
"108","JEY","Jersey",50346.3138576563,0,0.492307570323422,NA,3408.86584542947,NA,13.3838206041872,13.335858758999,NA,NA,22.2023460967275,NA,35.53846154,35
"109","JOR","Jordan",11188.6436890018,2540.01959483466,0.0182850114728601,NA,20396.7490087145,NA,1.32757334040106,0.106259108635178,0.00374022306660606,0.00213106394223065,11.6865640186727,5.81352331952705,9.01552959128583,9.28302198188663
"110","JPN","Japan",25371263.1060072,0,0.290193332581439,NA,2914294.28332198,NA,12.6660143723362,12.55278579479,NA,NA,20.7540822102156,NA,32.7529327044091,33.3216098518596
"111","KAZ","Kazakhstan",52396554.800204,43776763.3420384,0.084696551530364,0.0159006942745957,20621286.1694531,91771178.0086231,1.71373152277816,1.60942306875506,0.663434896850424,0.651979610985437,25.1824019717392,8.15096280903883,14.5137872383875,11.7204267202814
"112","KEN","Kenya",83628778.4084635,209181157.798674,0.501820430373016,0.49707121961914,5555026.81482432,14027577.9098583,8.66315173039528,8.28650760054791,1.91176996915203,1.88515053683345,15.2545446259843,25.0485604827466,24.6884420604451,27.449646203524
"113","KGZ","Kyrgyzstan",2455602.84303289,8421340.93212481,0.0609143766329143,0.0480590884973775,1343745.64143316,5840963.1389384,2.8510246216298,2.68228082108514,1.74703505510352,1.71018887814491,20.5706773229584,18.4824289121195,26.7750001088792,19.971757046971
"114","KHM","Cambodia",173728813.230774,84899.195760269,1.12729242614555,0.241282538441837,5137052.55771679,11728.8769020936,7.72129584405858,7.15471862110119,14.0272071949224,14.4587929497623,26.5460017177729,9.53030528111692,34.7538205479212,26.0650279656301
"115","KIR","Kiribati",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"116","KNA","Saint Kitts and Nevis",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18.0503997161106,26.6954701498767
"117","KOR","South Korea",14581703.4669138,0,0.43975549408816,NA,1105288.70875919,NA,9.33921289327823,9.33715277168046,NA,NA,26.1986643268749,NA,35.53846154,35
"118","KWT","Kuwait",12.2693256282287,0,0.000485637687369403,NA,842.145351519774,NA,1.00350553505535,0.085817068745168,0,0,2.99649446494465,5,4,5
"119","LAO","Laos",40452290.6019477,22466.5875556439,1.11573966828193,NA,1208534.32486445,NA,6.94865735894785,6.21513689141093,10.4422197680377,10.7251092763477,27.1985081939532,20.8077802319623,24.7457232755719,29.837921780398
"120","LBN","Lebanon",31185.8650719187,0,0.014043573208796,NA,74021.6766968912,NA,2.8605980116468,1.94108348457139,NA,NA,7.01336537062508,NA,9.75,23
"121","LBR","Liberia",12619.1370951129,0,0.730732351547378,NA,575.638812596293,NA,9.12681816257793,7.95042373076047,NA,NA,13.0495762692395,NA,21.0064797982908,31.2433496807058
"122","LBY","Libya",9479.00440736321,386526.828741406,0.0157171242861953,NA,20103.3476496903,NA,1.27898414794584,0.028445090938654,0.0440726860202815,0.034871723322333,8.47077905817896,6.09862235118835,4.23813862513493,5.74547743520499
"123","LCA","Saint Lucia",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29.4004677976443,27.1366092675012
"124","LIE","Liechtenstein",2093.66781596268,0,0.126441410365916,NA,551.946763301597,NA,17.7595315666915,17.6923764660143,NA,NA,17.1161432964222,NA,24.3153767241639,28.0557503380754
"125","LKA","Sri Lanka",2981291.84319714,29.3272165762124,0.7714095451708,NA,128824.429766726,NA,9.92363378171203,10.9005075986902,7.32337983144435,4.832,28.078017472313,0.541412380122058,35.696831430726,24.5744851002298
"126","LSO","Lesotho",1073806.77474917,7500188.46075964,0.152380478408037,0.164547660934932,234895.962607884,1519354.82160505,2.32538171673018,2.22051551705541,4.27844706730645,4.42770688842006,24.6325350358324,20.678658914794,25.9823279132899,24.7659130653023
"127","LTU","Lithuania",12920437.8437648,0,0.219785956329902,NA,1959548.5928699,NA,8.46596223240239,8.46576774015243,NA,NA,27.0725301633789,NA,35.53846154,35
"128","LUX","Luxembourg",484807.956935477,0,0.313688819480183,NA,51516.8671231634,NA,9.82027504531426,9.82005151698293,NA,NA,25.7181864946299,NA,35.53846154,35
"129","LVA","Latvia",6333453.2045302,0,0.210973894119869,NA,1000669.33730542,NA,11.1616993067238,11.1612643246025,NA,NA,24.3769583707901,NA,35.53846154,35
"130","MAC","Macao",5.02650647207127,0,0.183693779869438,NA,0.912116979980469,NA,12.2553191489362,NA,NA,NA,NA,NA,21,31.25
"131","MAF","Saint-Martin",0.0364366274398773,0,0.00237911223078473,NA,0.510507336425781,NA,6.28571428571429,2.5,NA,NA,1.5,NA,4,5
"132","MAR","Morocco",1159902.24142117,3186470.52553233,0.0135094745559723,0.0532509917096111,2861947.58257864,1994623.58867657,1.66444614259579,0.747767738920092,0.090906739246356,0.0792271595250862,8.4593884124359,20.4454309758703,9.06082691057399,19.1522264954285
"133","MCO","Monaco",0.0172858823327328,0,0.000681943283785743,NA,0.844932550048828,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","MDA","Moldova",6862130.49329637,0,0.122681150945711,NA,1864489.21734603,NA,6.20870508316422,6.20776738935531,NA,NA,27.1669515469225,NA,33.7881898159145,31.6647916647412
"135","MDG","Madagascar",34083929.0867432,289535995.780391,0.600162948157539,0.562115515817817,1893037.50430771,17169424.4114662,5.92840504818109,5.59879647090864,3.52666985815044,3.17831668981392,19.9923429885656,18.4341656581082,22.703100977281,23.5839967701948
"136","MDV","Maldives",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,31.25
"137","MEX","Mexico",68868089.4988654,17453855.0800093,0.226279815115162,0.0202224973042623,10144974.6285465,28769699.4382102,5.99564460946404,5.09189294808008,2.26759123226446,1.72473781097989,18.87009201446,7.94883800312269,17.4036088859913,17.8688435025061
