"","continent","biome","repTree","name","id","institution","countryExpertise","reasonImportance","reason","crop","b_or_f"
"11","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","acts as windbreak","corn","field"
"12","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as windbreak","corn","field"
"13","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Top","acts as windbreak","corn","field"
"14","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","improves soil","corn","field"
"15","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","produces something of extractive  value","corn","field"
"16","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","improves microclimate","corn","field"
"17","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Second","trees already present","corn","field"
"18","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Second","improves soil","corn","field"
"19","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","produces something of extractive  value","corn","field"
"20","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","trees already present","corn","field"
"21","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","field"
"22","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Second","improves soil","corn","field"
"23","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Second","improves microclimate","corn","field"
"24","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Second","produces something of extractive  value","corn","field"
"25","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Second","improves soil","corn","field"
"26","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Second","improves soil","corn","field"
"27","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Second","aesthetics","corn","field"
"28","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Second","improves microclimate","corn","field"
"29","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Third","improves microclimate","corn","field"
"30","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Third","improves soil","corn","field"
"31","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Third","acts as windbreak","corn","field"
"32","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Third","improves microclimate","corn","field"
"33","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Third","farmers compensated","corn","field"
"34","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Third","trees already present","corn","field"
"35","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Third","provides habitat","corn","field"
"36","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Third","produces something of extractive  value","corn","field"
"37","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Third","improves soil","corn","field"
"38","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Third","improves microclimate","corn","field"
"39","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Third","improves microclimate","corn","field"
"40","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Third","improves soil","corn","field"
"41","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Third","provides habitat","corn","field"
"42","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Fourth","improves soil","corn","field"
"43","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Fourth","produces something of extractive  value","corn","field"
"44","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Fourth","improves soil","corn","field"
"45","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Fourth","aesthetics","corn","field"
"46","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Fourth","provides habitat","corn","field"
"47","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Fourth","produces something of extractive  value","corn","field"
"48","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Fourth","farmers compensated","corn","field"
"49","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Fourth","provides habitat","corn","field"
"50","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Fourth","trees already present","corn","field"
"51","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Fourth","provides habitat","corn","field"
"52","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Fourth","trees already present","corn","field"
"53","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fourth","acts as windbreak","corn","field"
"54","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Fifth","provides habitat","corn","field"
"55","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Fifth","provides habitat","corn","field"
"56","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Fifth","provides habitat","corn","field"
"57","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Fifth","provides habitat","corn","field"
"58","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Fifth","other cultural/historical reason","corn","field"
"59","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Fifth","acts as windbreak","corn","field"
"60","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Fifth","improves soil","corn","field"
"61","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Fifth","aesthetics","corn","field"
"62","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Fifth","produces something of extractive  value","corn","field"
"63","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Fifth","aesthetics","corn","field"
"64","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Fifth","produces something of extractive  value","corn","field"
"65","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fifth","produces something of extractive  value","corn","field"
"66","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Sixth","trees already present","corn","field"
"67","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Sixth","farmers compensated","corn","field"
"68","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Sixth","improves soil","corn","field"
"69","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Sixth","aesthetics","corn","field"
"70","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Sixth","provides habitat","corn","field"
"71","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Sixth","farmers compensated","corn","field"
"72","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Sixth","provides habitat","corn","field"
"73","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Sixth","farmers compensated","corn","field"
"74","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Sixth","farmers compensated","corn","field"
"75","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Sixth","farmers compensated","corn","field"
"76","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Seventh","other cultural/historical reason","corn","field"
"77","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Seventh","trees already present","corn","field"
"78","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Seventh","improves microclimate","corn","field"
"79","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Seventh","farmers compensated","corn","field"
"80","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Seventh","aesthetics","corn","field"
"81","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Seventh","trees already present","corn","field"
"82","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Seventh","aesthetics","corn","field"
"83","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Seventh","provides habitat","corn","field"
"84","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Eighth","other cultural/historical reason","corn","field"
"85","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Eighth","produces something of extractive  value","corn","field"
"86","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Eighth","trees already present","corn","field"
"87","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Eighth","other cultural/historical reason","corn","field"
"88","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Eighth","other cultural/historical reason","corn","field"
"89","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Eighth","other cultural/historical reason","corn","field"
"90","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Eighth","improves microclimate","corn","field"
"91","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Last","acts as windbreak","corn","field"
"92","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Last","farmers compensated","corn","field"
"93","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Last","other cultural/historical reason","corn","field"
"94","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Not Meaningful","aesthetics","corn","field"
"95","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Not Meaningful","aesthetics","corn","field"
"96","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","improves microclimate","corn","field"
"97","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora","Eduardo Somarriba",10,"CATIE","Latin America and the Caribbean","Not Meaningful","trees already present","corn","field"
"98","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Not Meaningful","trees already present","corn","field"
"99","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","acts as windbreak","corn","field"
"100","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","produces something of extractive  value","corn","field"
"101","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Not Meaningful","other cultural/historical reason","corn","field"
"102","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Not Meaningful","trees already present","corn","field"
"103","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Not Meaningful","acts as windbreak","corn","field"
"104","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Not Meaningful","trees already present","corn","field"
"105","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Not Meaningful","aesthetics","corn","field"
"106","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Not Meaningful","farmers compensated","corn","field"
"107","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Not Meaningful","farmers compensated","corn","field"
"108","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","produces something of extractive  value","corn","field"
"109","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora","Eduardo Somarriba",10,"CATIE","Latin America and the Caribbean","Not Meaningful","acts as windbreak","corn","field"
"110","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Not Meaningful","produces something of extractive  value","corn","field"
"111","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","produces something of extractive  value","corn","field"
"112","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","improves microclimate","corn","field"
"113","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Not Meaningful","produces something of extractive  value","corn","field"
"114","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Not Meaningful","trees already present","corn","field"
"115","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Not Meaningful","trees already present","corn","field"
"116","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","provides habitat","corn","field"
"117","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora","Eduardo Somarriba",10,"CATIE","Latin America and the Caribbean","Not Meaningful","produces something of extractive  value","corn","field"
"118","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Not Meaningful","provides habitat","corn","field"
"119","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","aesthetics","corn","field"
"120","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","improves soil","corn","field"
"121","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Not Meaningful","other cultural/historical reason","corn","field"
"122","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Not Meaningful","other cultural/historical reason","corn","field"
"123","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Not Meaningful","other cultural/historical reason","corn","field"
"124","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","improves soil","corn","field"
"125","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora","Eduardo Somarriba",10,"CATIE","Latin America and the Caribbean","Not Meaningful","improves microclimate","corn","field"
"126","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Not Meaningful","aesthetics","corn","field"
"127","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Not Meaningful","farmers compensated","corn","field"
"128","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","provides habitat","corn","field"
"129","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","aesthetics","corn","field"
"130","North/Central America (includes Caribbean)","Tropical & Subtropical Moist Broadleaf Forests","Cordia alliodora","Eduardo Somarriba",10,"CATIE","Latin America and the Caribbean","Not Meaningful","improves soil","corn","field"
"131","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Not Meaningful","farmers compensated","corn","field"
"132","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Not Meaningful","aesthetics","corn","field"
"133","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Not Meaningful","farmers compensated","corn","field"
