ID,ANOVA,Name (First Last):,CONTINENT: Please select the continent you will address in this questionnaire.  Please select only one.  We welcome responses for multiple continents; however; as responses will likely vary by bio...,TreeAvgMatureHeight(M)R2,TreeAvgMatureWidth(M)R2,Tree Area (m2)RecalculatedR2,Crop,Biome,Clim,Veg,CS_Final1OptimalCropSpecificTotal TreeCover/ha (%) w/ Mechanization scaled across all cropland by level of mech(CY)GivenR2,Tha_2FinalOptimalAcrossAll CropsTrees/ha_GivenR2,AA_3FinalOptimalAcrossAllCrops%cover_GivenR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,Agena Tanga ,Africa,no data,4.2,13.8544236,Corn,TrSMBF,Trop,F,23%,50,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Alain Ndoli,Africa,17,6,28.27433388,Corn,TrSMBF,Trop,F,30%,70,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,Drake N. Mubiru,Africa,18,4.5,15.90431281,Corn,TrSMBF,Trop,F,25%,157,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x5,1,Starry (Bertomeu article),Asia,17,6,28.27433388,Corn,TrSMBF,Trop,F,26%,75,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,Eduardo Somarriba,North/Central America (includes Caribbean),no data,no data,#VALUE!,Corn,TrSMBF,Trop,F,30%,46,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x4,1,Starry (personal),North/Central America (includes Caribbean),20,5,19.63495408,Corn,TrSMBF,Trop,F,23%,100,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x6,1,Starry (Tonini article),South America,20,8,50.26548246,Corn,TrSMBF,Trop,F,21%,40,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,AthanaseMukuralinda ,Africa,12,5.65,25.07187287,Corn,TrSMBF,Trop,F,25%,157,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,Ibrahim Abdullahi; PhD,Africa,12.5,6.5,33.1830724,Corn,TrSGSS,Trop,G,40%,60,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,Joy Tukahirwa,Africa,6.5,4.6,16.61902514,Corn,TrSGSS,Trop,G,32%,240,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,Tesfaye Shiferaw Sida,Africa,no data,10,78.53981634,Corn,TrSGSS,Trop,G,35%,45,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,ZUBAIRU YAKUBU GADA,Africa,10,4.5,15.90431281,Corn,TrSGSS,Trop,G,5%,31,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x3,2,Starry (personal),North/Central America (includes Caribbean),13,4.6,16.61902514,Corn,TrSGSS,Trop,G,28%,150,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x15,1,Starry (based on Xu),Asia,12,3,7.068583471,Soy,TBMF,Tem,F,18%,280,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x14,1,Starry (based on Rivest),North/Central America (includes Caribbean),15,5,19.63495408,Soy,TBMF,Tem,F,23%,100,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,Harry Greene,North/Central America (includes Caribbean),,,0,Soy,TBMF,Tem,F,62%,166,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,AthanaseMukuralinda ,Africa,12,5.65,25.07187287,Soy,TrSMBF,Trop,F,25%,157,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x16,1,Starry (Werner article),South America,20,5,19.63495408,Soy,TrSMBF,Trop,F,17%,85,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,Drake N. Mubiru,Africa,18,4.5,15.90431281,Soy,TrSMBF,Trop,F,11%,69,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x17,2,Starry (Bertomeu article),Asia,17,5,19.63495408,Soy,TrSMBF,Trop,F,20%,65,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x18,1,Starry (Garrity),Africa,20,8,50.26548246,Soy,TrSGSS,Trop,G,35%,70,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x19,1,Starry (Borges article),South America,20,6,28.27433388,Soy,TrSGSS,Trop,G,23%,100,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,Wander Luis Barbosa Borges,South America,30.5,3.8,11.34114948,Soy,TrSGSS,Trop,G,23%,200,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,Joy Tukahirwa,Africa,10.3,5,19.63495408,Soy,TrSGSS,Trop,G,32%,203,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,Manuel Bertomeu,Europe,7,no data,30,Wheat,MF,M,F,11%,23,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,Pierluigi Paris,Europe,5,3.75,11.04466167,Wheat,MF,M,F,10%,40,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,Pierluigi Paris,Europe,23,11.5,103.8689071,Wheat,MF,M,F,7%,13,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x8,1,Starry (personal),North/Central America (includes Caribbean),23,5,19.63495408,Wheat,MF,M,F,10%,70,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,Paul Burgess,Europe,no data,no data,#VALUE!,Wheat,TBMF,Tem,F,10%,10,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,Marney Isaac,North/Central America (includes Caribbean),no data,no data,#REF!,Wheat,TBMF,Tem,F,80%,121,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Amit Kumar,Asia,18,2.3,4.5,Wheat,TBMF,Tem,F,32%,711,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Huasen Xu,Asia,20,7.6,45.36459792,Wheat,TBMF,Tem,F,42%,88,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,Pierluigi Paris,Europe,23,6.9,37.39280656,Wheat,TBMF,Tem,F,13%,no data,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,Andy Gordon,North/Central America (includes Caribbean),no data,15,176.7145868,Wheat,TBMF,Tem,F,75%,42,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,Harry Greene,North/Central America (includes Caribbean),,,0,Wheat,TBMF,Tem,F,62%,166,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x10,1,Starry (modeled off of Kazakh),Asia,22,12,113.0973355,Wheat,TGSS,Tem,G,20%,15,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x9,1,Starry (personal),North/Central America (includes Caribbean),22,10,78.53981634,Wheat,TGSS,Tem,G,21%,20,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,William Schroeder ,North/Central America (includes Caribbean),no data,no data,#VALUE!,Wheat,TGSS,Tem,G,50%,37,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Abayneh Derero,Africa,no data,9.5,70.88218425,Wheat,TrSDBF,Trop,F,50%,71,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x11,1,Starry (Garrity),Africa,20,9,63.61725124,Wheat,TrSDBF,Trop,F,50%,75,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x12,1,Starry (personal),North/Central America (includes Caribbean),22,4,12.56637061,Wheat,TrSDBF,Trop,F,30%,220,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,Ibrahim Abdullahi; PhD,Africa,12.5,6.5,33.1830724,Wheat,TrSGSS,Trop,G,35%,54,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x13,1,Starry,North/Central America (includes Caribbean),18,6,28.27433388,Wheat,TrSGSS,Trop,G,32%,80,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,Tesfaye Shiferaw Sida,Africa,no data,10,78.53981634,Wheat,TrSGSS,Trop,G,35%,45,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,ZUBAIRU YAKUBU GADA,Africa,10.1,3,7.068583471,Wheat,TrSGSS,Trop,G,5%,70,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
