crop,country,mean natural regen growth rate in moist broadleaf forest regions (MgC/ha/yr),% shade tree canopy cover recommendation,estimated ha in starting point in 2020,starting point,ending point,millions of ha in full sun in 2020 (max extent of implementation),max additional flux density (MgC/ha/yr),saturation point (yr),min MgC/ha,max MgC/ha,difference MgC/ha,years to saturation,,,,,,
coffee,Indonesia,4.315825608,0.4,,commercial polyculture,traditional polyculture,0,1.726330243,2030,30.2,42.5,12.3,7.124940346,,,,,,
coffee,Kenya,3.174900198,0.4,,commercial polyculture,traditional polyculture,0,1.269960079,2033,30.2,42.5,12.3,9.685343816,,,,,,
coffee,Mexico,3.849339641,0.4,,commercial polyculture,traditional polyculture,0,1.539735856,2031,30.2,42.5,12.3,7.988383169,,,,,,
coffee,Nicaragua,3.478633423,0.4,,commercial polyculture,traditional polyculture,0,1.391453369,2032,30.2,42.5,12.3,8.83967819,,,,,,
coffee,Peru,4.303608588,0.4,,commercial polyculture,traditional polyculture,0,1.721443435,2030,30.2,42.5,12.3,7.14516652,,,,,,
coffee,Tanzania,3.485338345,0.4,,commercial polyculture,traditional polyculture,0,1.394135338,2032,30.2,42.5,12.3,8.822672853,,,,,,
coffee,Vietnam,3.351260088,0.4,,commercial polyculture,traditional polyculture,0,1.340504035,2032,30.2,42.5,12.3,9.175653095,,,,,,
cacao,Cote D'Ivoire,4.958774091,0.4,"1,002,724",unshaded monoculture,traditional polyculture,1.002724,1.983509636,2042,22.0925,60.74,38.6475,19.48440244,,,,,,
cacao,Indonesia,4.315825608,0.4,"1,107,684",unshaded monoculture,traditional polyculture,1.107684,1.726330243,2045,22.0925,60.74,38.6475,22.3870839,,,,,,
cacao,Nigeria,5.155215408,0.4,"25,228",unshaded monoculture,traditional polyculture,0.025228,2.062086163,2042,22.0925,60.74,38.6475,18.74194235,,,,,,
cacao,Ghana,5.042192202,0.4,"304,594",unshaded monoculture,traditional polyculture,0.304594,2.016876881,2042,22.0925,60.74,38.6475,19.16205216,,2044,,,,
cacao,Cameroon,5.13253536,0.4,"49,312",unshaded monoculture,traditional polyculture,0.049312,2.053014144,2042,22.0925,60.74,38.6475,18.82476071,,,,,,
cacao,Ecuador,4.001895375,0.4,"263,764",unshaded monoculture,traditional polyculture,0.263764,1.60075815,2047,22.0925,60.74,38.6475,24.14324737,,,,,,
cacao,Colombia,4.402531406,0.4,"47,093",unshaded monoculture,traditional polyculture,0.047093,1.761012562,2045,22.0925,60.74,38.6475,21.94618075,,,,,,
cacao,Brazil,4.545560868,0.4,"41,195",unshaded monoculture,traditional polyculture,0.041195,1.818224347,2044,22.0925,60.74,38.6475,21.25562781,,,,,,
,,,,,,,,,,,,,,,,,,,
cacao,World,,0.4,3071721.64,unshaded monoculture,traditional polyculture,,,,,,,,,,,,,
coffee,World,,0.4,4242110.732,unshaded monoculture,traditional polyculture,,,,,,,,,,,,,
