"","id","name","institution","countryExpertise","continent","biome","repTree","CBP1","CBP2","CBP3","CBP4","CBP5","CBP6","CBP7","CBP8","CBP9","CBN1","CBN2","CBN3","CBN4","CBN5","CBN6","CBN7","CBN8","CBN9","CFP1","CFP2","CFP3","CFP4","CFP5","CFP6","CFP7","CFP8","CFP9","CFN1","CFN2","CFN3","CFN4","CFN5","CFN6","CFN7","CFN8","CFN9","WBP1","WBP2","WBP3","WBP4","WBP5","WBP6","WBP7","WBP8","WBP9","WBN1","WBN2","WBN3","WBN4","WBN5","WBN6","WBN7","WBN8","WBN9","WFP1","WFP2","WFP3","WFP4","WFP5","WFP6","WFP7","WFP8","WFP9","WFN1","WFN2","WFN3","WFN4","WFN5","WFN6","WFN7","WFN8","WFN9","SBP1","SBP2","SBP3","SBP4","SBP5","SBP6","SBP7","SBP8","SBP9","SBN1","SBN2","SBN3","SBN4","SBN5","SBN6","SBN7","SBN8","SBN9","SFP1","SFP2","SFP3","SFP4","SFP5","SFP6","SFP7","SFP8","SFP9","SFN1","SFN2","SFN3","SFN4","SFN5","SFN6","SFN7","SFN8","SFN9","A1","A2","A3","A4","A5","A6","AN1","AN2","AN3","AN4","AN5","AN6"
"11",23,"Pierluigi Paris","National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","3","1","2","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2","7","4","5","6","9",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","4","5","6","8","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","3","2","4","5","6",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5","6","1","2","4",NA,NA,NA,NA,NA,NA
"12",26,"Joy Tukahirwa","Uganda Landcare Network","Uganda","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","3","1","4","5","6","8","9","7",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4","5","6","7","8","9",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","1","4","3","2","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5","9","1","2","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","6","1","5","2","4",NA,NA,NA,NA,NA,NA
"13",27,"Agena Tanga ","Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","3","1","4","5","2","6","7","9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","3","8","2","5","6","9","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","1","3","6","2",NA,NA,NA,NA,NA,NA
"14",28,"Ibrahim Abdullahi; PhD","University of Abuja","Nigeria; United Kingdom","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","1","3","5","6","4","2","7",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,"1","4","3","5","6","7",NA,NA,NA,"8","2","9",NA,NA,NA,NA,NA,NA,"1","5","4","3","6","7","2",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,"4","3","1","5","6","7",NA,NA,NA,"9","2","8",NA,NA,NA,NA,NA,NA,"1","5","3","4","6","2","7",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,"1","4","3","5","7","6",NA,NA,NA,"2","8","9",NA,NA,NA,NA,NA,NA,"6","1","3","4","5","2",NA,NA,NA,NA,NA,NA
"15",29,"Peter O. Alele","Conservation International","Uganda; Kenya; Rwanda; Tanzania","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","5","7","3","4","6","8","9","1","6","4","8","2","7","5","3","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","5","6","3","4",NA,NA,NA,NA,NA,NA
"16",30,"Drake N. Mubiru","National Agricultural Research Organization (NARO)","Uganda","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","3","4","5","2","7","1","6",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5","2","7","1","6",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","4","5",NA,NA,"3","6",NA,NA,NA,NA
"17",31,"ZUBAIRU YAKUBU GADA","USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","2","5","6","4","8","1","3","7",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5","1","2","7",NA,NA,NA,"6","8","9",NA,NA,NA,NA,NA,NA,"2","1","5","4","6","3","8","7",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5","7","1","2",NA,NA,NA,"6","8","9",NA,NA,NA,NA,NA,NA,"2","4","6","5","1","3",NA,NA,NA,"7","9",NA,NA,NA,NA,NA,NA,NA,"2","4","3","5","1","7",NA,NA,NA,"6","8","9",NA,NA,NA,NA,NA,NA,"1","5","6","3","4",NA,"2",NA,NA,NA,NA,NA
"18",6,"William Schroeder ","GreenTree Agroforestry Solutions","Canada; United States","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","6","1","5","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5",NA,NA,NA,NA,"7","6","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","6","5",NA,NA,"2","4",NA,NA,NA,NA
"19",7,"Kiros Hadgu","World Agroforestry (ICRAF)","Ethiopia","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","4","1","2","6","8","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","4","5","2","7","6","9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5","4","1","2","6"
"20",9,"Abayneh Derero","Ethiopian Environment and Forest Research Institute","Ethiopia","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6","7",NA,NA,"9","8",NA,NA,NA,NA,NA,NA,NA,"1","3","4","8","2","5","6","9",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5","6",NA,NA,NA,NA,NA,NA
"21",12,"Paul Burgess","Cranfield University","UK","Europe","Temperate Broadleaf & Mixed Forests","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","7","2","3","5","9","4",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","5","4","6","3",NA,NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","5","6","1","4",NA,"2",NA,NA,NA,NA,NA
"22",13,"Marney Isaac","University of Toronto","Canada; Costa Rica; Ghana","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","5",NA,NA,NA,NA,NA,"1","6","7","8","9",NA,NA,NA,NA,"2","1","3","4",NA,NA,NA,NA,NA,"5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","6",NA,NA,NA,"2","4","5",NA,NA,NA
"23",17,"Michael den Herder","European Forest Institute","Finland","Europe","Boreal Forests & Taiga","Alnus glutinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","2","1","6","3","7",NA,NA,"8","9",NA,NA,NA,NA,NA,NA,NA,"8","2","6","3","4","5","9",NA,NA,"1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","Other","5","6",NA,"2","4",NA,NA,NA,NA
"24",18,"Manuel Bertomeu","University of Extremadura","Spain; Philippines","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","2","3","5","1","4","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","6","3","4","2","1",NA,NA,NA,NA,NA,NA
"25",19,"Harry Greene","Propagate Ventures","United States; Canada; Argentina; Dominican Republic","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Robinia pseudoacacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","1","6","5","2",NA,NA,NA,NA,NA,NA
"26",20,"Wander Luis Barbosa Borges","Agronomic Institute - IAC","Brazil","South America","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Eucalyptus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","4","5","3","6",NA,NA,NA,NA,NA,NA
"27",24,"Pierluigi Paris","National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","9","2","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","6","7","4","2","3","5","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","6","1","2","4",NA,NA,NA,NA,NA,NA
"28",25,"Pierluigi Paris","National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1","7","4","6","2","3","5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","Other","6","1","3","4","2","5","Other","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","3","5","1","2","4",NA,NA,NA,NA,NA,NA
